target,role,tier,stat,mlbam_id,name,age,prior_pa,target_pa,pred,actual,q10,q90
2021,H,tier2,woba,668804,Bryan Reynolds,26.0,207.0,637.0,0.3281337033560839,0.3850675039246467,0.3048820829454874,0.35121724123748305
2021,H,tier2,woba,663656,Kyle Tucker,24.0,226.0,560.0,0.3257189689182152,0.38258392857142864,0.29718969799757144,0.35574784342007304
2021,H,tier2,woba,608324,Alex Bregman,27.0,179.0,396.0,0.39136108651709167,0.33560858585858583,0.3628349068248705,0.4197913192927043
2021,H,tier2,woba,663586,Austin Riley,24.0,205.0,660.0,0.32396826268506995,0.3795409090909091,0.2942625251590113,0.3537244598555033
2021,H,tier2,woba,643446,Jeff McNeil,29.0,207.0,426.0,0.35593134380507263,0.30054694835680745,0.33150199047603524,0.3801013449798328
2021,H,tier2,woba,641680,Jonah Heim,26.0,41.0,284.0,0.3114135717867723,0.25636971830985916,0.2757347428212188,0.3503000358683903
2021,H,tier2,woba,553993,Eugenio Suárez,29.0,230.0,574.0,0.36111859257667206,0.30617595818815335,0.3340647061497793,0.39034025430993613
2021,H,tier3,woba,641355,Cody Bellinger,25.0,241.0,348.0,0.36969622260229523,0.23684770114942527,0.33243168070562873,0.41198023215685675
2021,H,tier3,woba,643524,Frank Schwindel,29.0,0.0,257.0,0.28386447787814045,0.40308171206225685,0.24097841238653336,0.33260680721348695
2021,H,tier3,woba,542303,Marcell Ozuna,30.0,264.0,208.0,0.39044856787537313,0.2841538461538461,0.35470922415695005,0.4279525381622221
2021,H,tier3,woba,598265,Jackie Bradley Jr.,31.0,216.0,428.0,0.3137446553551594,0.2240420560747664,0.2861067850224458,0.3419348808541379
2021,H,tier3,woba,656775,Cedric Mullins,26.0,149.0,670.0,0.2831344418837531,0.37174477611940304,0.2554164869350228,0.31154140519405976
2021,H,tier3,woba,656582,Connor Joe,28.0,0.0,211.0,0.27769285667051274,0.3662464454976303,0.23118562019234978,0.3298968028292187
2021,H,tier3,woba,641933,Tyler O'Neill,26.0,157.0,537.0,0.29824079748943744,0.3838957169459963,0.2676931168949468,0.3315051320249279
2021,H,tier3,woba,543063,Brandon Crawford,34.0,191.0,543.0,0.29315735164634027,0.3771915285451196,0.2673736426136139,0.319031171576492
2021,H,tier3,woba,542364,Rafael Ortega,30.0,0.0,327.0,0.27257235961171855,0.35466055045871553,0.2405020424162125,0.3036983188487804
2021,H,tier3,woba,518735,Yasmani Grandal,32.0,194.0,374.0,0.32105085186781446,0.40233689839572195,0.2932168573884826,0.3497219028716693
2021,H,tier3,woba,641584,Jake Fraley,26.0,29.0,263.0,0.24400885827784924,0.32255513307984796,0.21137189097764247,0.2793537795588547
2021,H,tier3,woba,666969,Adolis García,28.0,7.0,622.0,0.23607923043519988,0.3142717041800643,0.18975098595198028,0.2826339559890145
2021,H,tier3,woba,663898,Brendan Rodgers,24.0,21.0,415.0,0.2636209230389693,0.34096867469879516,0.2318242978132745,0.29612134759538733
