tier,role,target,stat,age_bucket,pt_bucket,history_bucket,n,mean_error,rmse,cov80
marcel,H,2024,babip,<=24,150-400,1,4,0.01408666300348112,0.02714361329479243,
marcel,H,2024,babip,<=24,150-400,2,6,-0.005183948277852808,0.04265795090133135,
marcel,H,2024,babip,<=24,<150,1,14,0.004417684666497167,0.041135894282248245,
marcel,H,2024,babip,<=24,<150,2,3,-0.04300880047332305,0.043674184996398954,
marcel,H,2024,babip,<=24,>400,1,3,-0.023478989211275503,0.024160585652692815,
marcel,H,2024,babip,<=24,>400,2,13,0.011247093365660321,0.03966036372417577,
marcel,H,2024,babip,<=24,>400,3+,3,-0.012975591850659995,0.01771137066960214,
marcel,H,2024,babip,>=34,150-400,3+,10,0.007056073077915887,0.02922231362283066,
marcel,H,2024,babip,>=34,<150,2,1,-0.07442930339568526,0.07442930339568526,
marcel,H,2024,babip,>=34,>400,3+,22,0.0025869223873324953,0.0247091302722426,
marcel,H,2021,bb_pct,25-27,150-400,1,1,0.01439121654133095,0.01439121654133095,
marcel,H,2021,bb_pct,25-27,150-400,2,7,0.003594880822584486,0.01414668150851115,
marcel,H,2021,bb_pct,25-27,150-400,3+,37,-0.0010605929906794458,0.02106947775248553,
marcel,H,2021,bb_pct,25-27,<150,1,11,0.012803789298452694,0.02425863474806451,
marcel,H,2021,bb_pct,25-27,<150,2,22,0.0004192175270166837,0.029866542501257563,
marcel,H,2021,bb_pct,25-27,<150,3+,25,0.004593468805644126,0.022169240275803623,
marcel,H,2021,bb_pct,28-30,150-400,1,1,-0.0016826869420331209,0.0016826869420331209,
marcel,H,2021,bb_pct,28-30,150-400,2,2,-0.005613347349410879,0.011984432890317798,
marcel,H,2021,bb_pct,28-30,150-400,3+,55,-0.0010011541667838528,0.01495999380247182,
marcel,H,2021,bb_pct,28-30,<150,1,3,0.0028448219091107754,0.028125443555354443,
marcel,H,2021,bb_pct,28-30,<150,2,12,0.005948086376079251,0.02235665237893349,
marcel,H,2021,bb_pct,28-30,<150,3+,37,0.0004681939005592924,0.020796618036412938,
marcel,H,2021,bb_pct,31-33,150-400,2,3,0.0051318740725133484,0.00851886645338063,
marcel,H,2021,bb_pct,31-33,150-400,3+,41,-0.0018864734371041238,0.01945934039937508,
marcel,H,2021,bb_pct,31-33,<150,1,1,0.00965378118973928,0.00965378118973928,
marcel,H,2021,bb_pct,31-33,<150,2,1,0.03307400926559258,0.03307400926559258,
marcel,H,2021,bb_pct,31-33,<150,3+,21,-0.006845515250773204,0.01858864658055562,
marcel,H,2021,bb_pct,<=24,150-400,1,2,0.030130529394435248,0.033733079086805715,
marcel,H,2021,bb_pct,<=24,150-400,2,5,-0.008673267936724276,0.01511997717252932,
marcel,H,2021,bb_pct,<=24,150-400,3+,6,-0.020507392804591157,0.02501663861664164,
marcel,H,2021,bb_pct,<=24,<150,1,12,0.011948022901753789,0.018929361396690787,
marcel,H,2021,bb_pct,<=24,<150,2,9,0.014108156662020633,0.02018020445916226,
marcel,H,2021,bb_pct,<=24,<150,3+,2,-0.007026369047487592,0.010462494557573296,
marcel,H,2021,bb_pct,>=34,150-400,3+,19,-0.008559995740047763,0.021678042631647163,
marcel,H,2021,bb_pct,>=34,<150,1,2,-0.0115520105702522,0.03125970321809767,
marcel,H,2021,bb_pct,>=34,<150,2,4,-0.006740486268112058,0.02328604312193771,
marcel,H,2021,bb_pct,>=34,<150,3+,4,-0.002818265793621563,0.01618251594722755,
marcel,H,2022,bb_pct,25-27,150-400,1,7,0.004479393852638919,0.02124742931812258,
marcel,H,2022,bb_pct,25-27,150-400,2,8,0.0053576645774193864,0.01808575365866703,
