target,role,tier,stat,n,rmse,mae,cov50,cov80
2024,P,tier2,bb_pct,332,0.020510278419307613,0.015850684075647888,0.5030120481927711,0.8132530120481928
2021,P,tier2,fip,329,0.808062639315096,0.6479240659134111,0.47720364741641336,0.7507598784194529
2022,P,tier2,fip,325,0.8850142746926574,0.700650406882384,0.4,0.6707692307692308
2023,P,tier2,fip,334,0.82256113933014,0.6262529323689143,0.44610778443113774,0.7395209580838323
2024,P,tier2,fip,332,0.7627681207086131,0.5881835132045952,0.4457831325301205,0.7409638554216867
2021,P,tier2,hr_pct,329,0.010519559412173182,0.008474728761767846,0.48936170212765956,0.7963525835866262
2022,P,tier2,hr_pct,325,0.011793853110590937,0.00943430316047528,0.4492307692307692,0.7138461538461538
2023,P,tier2,hr_pct,334,0.01101846710139697,0.008596133186357262,0.49700598802395207,0.7664670658682635
2024,P,tier2,hr_pct,332,0.00958103436564061,0.007348794004756912,0.5301204819277109,0.822289156626506
2021,P,tier2,k_pct,329,0.04209977963429163,0.032273854041975275,0.5683890577507599,0.8449848024316109
2022,P,tier2,k_pct,325,0.041776523250887224,0.03129756681651798,0.5692307692307692,0.7876923076923077
2023,P,tier2,k_pct,334,0.037773053724797966,0.02909713237608314,0.562874251497006,0.8143712574850299
2024,P,tier2,k_pct,332,0.037082680769961296,0.027954491327415735,0.5783132530120482,0.8373493975903614
2021,P,tier3,babip,329,0.032416823923075516,0.026110872034367884,0.4376899696048632,0.7598784194528876
2022,P,tier3,babip,325,0.0329666376064763,0.02585211823829283,0.4461538461538462,0.7784615384615384
2023,P,tier3,babip,334,0.03178470007948098,0.02427804884059844,0.5149700598802395,0.7844311377245509
2024,P,tier3,babip,332,0.033056593721797686,0.025194445965851298,0.463855421686747,0.7620481927710844
2021,P,tier3,bb_pct,329,0.02331452975550363,0.01772994858471847,0.48024316109422494,0.7720364741641338
2022,P,tier3,bb_pct,325,0.02096325928572062,0.016297009950884407,0.5076923076923077,0.8092307692307692
2023,P,tier3,bb_pct,334,0.023099027236202985,0.017575266265682593,0.4880239520958084,0.7395209580838323
2024,P,tier3,bb_pct,332,0.020510278419307613,0.015850684075647888,0.4879518072289157,0.8162650602409639
2021,P,tier3,fip,329,0.8824666787953257,0.6981878426649335,0.44376899696048633,0.7537993920972644
2022,P,tier3,fip,325,0.9421766640527115,0.7314317265609059,0.41846153846153844,0.6584615384615384
2023,P,tier3,fip,334,0.8517760243447441,0.661582087260659,0.4251497005988024,0.7065868263473054
2024,P,tier3,fip,332,0.7924202005441326,0.6115658640838353,0.4457831325301205,0.7530120481927711
2021,P,tier3,hr_pct,329,0.012137811533838033,0.009503971833838097,0.5288753799392097,0.7963525835866262
2022,P,tier3,hr_pct,325,0.013130680286442908,0.010220366935924378,0.49230769230769234,0.76
2023,P,tier3,hr_pct,334,0.011699405601469523,0.00922246185797637,0.49101796407185627,0.7574850299401198
2024,P,tier3,hr_pct,332,0.010354746872759472,0.007959179897901939,0.5512048192771084,0.8524096385542169
2021,P,tier3,k_pct,329,0.04209977963429163,0.032273854041975275,0.5653495440729484,0.8571428571428571
2022,P,tier3,k_pct,325,0.041776523250887224,0.03129756681651798,0.5661538461538461,0.7938461538461539
2023,P,tier3,k_pct,334,0.037773053724797966,0.02909713237608314,0.562874251497006,0.8323353293413174
2024,P,tier3,k_pct,332,0.037082680769961296,0.027954491327415735,0.5753012048192772,0.8373493975903614
